===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,firstStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
101,,101,2018-07-14 00:00:00,1290.0,1316.0,1260.0,1267.0,10700707.0,,firstStrategy,101,736889.0,Broker,101,10000.0,10000.0,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,,102,2018-07-15 00:00:00,1260.0,1289.0,1240.0,1261.0,6999132.0,,firstStrategy,102,736890.0,Broker,102,10000.0,10000.0,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,,103,2018-07-16 00:00:00,1260.0,1280.0,1240.0,1258.0,9858716.0,,firstStrategy,103,736891.0,Broker,103,10000.0,10000.0,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,,104,2018-07-17 00:00:00,1233.0,1279.0,1233.0,1240.0,6829497.0,,firstStrategy,104,736892.0,Broker,104,10000.0,10000.0,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,,105,2018-07-18 00:00:00,1257.0,1268.0,1211.0,1230.0,6985926.0,,firstStrategy,105,736893.0,Broker,105,10000.0,10000.0,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,,106,2018-07-21 00:00:00,1243.0,1260.0,1218.0,1229.0,5640204.0,,firstStrategy,106,736896.0,Broker,106,10000.0,10000.0,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,,107,2018-07-22 00:00:00,1251.0,1251.0,1211.0,1220.0,5263605.0,,firstStrategy,107,736897.0,Broker,107,10000.0,10000.0,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,,108,2018-07-23 00:00:00,1218.0,1239.0,1209.0,1217.0,2904774.0,,firstStrategy,108,736898.0,Broker,108,10000.0,10000.0,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,,109,2018-07-24 00:00:00,1230.0,1230.0,1202.0,1210.0,5434822.0,,firstStrategy,109,736899.0,Broker,109,10000.0,10000.0,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,,110,2018-07-25 00:00:00,1215.0,1240.0,1185.0,1200.0,35127392.0,,firstStrategy,110,736900.0,Broker,110,10000.0,10000.0,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,,111,2018-07-28 00:00:00,1262.0,1262.0,1255.0,1262.0,126839605.0,,firstStrategy,111,736903.0,Broker,111,10000.0,10000.0,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,,112,2018-07-29 00:00:00,1300.0,1301.0,1253.0,1284.0,37672732.0,,firstStrategy,112,736904.0,Broker,112,10000.0,10000.0,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,,113,2018-07-30 00:00:00,1291.0,1341.0,1290.0,1341.0,90720836.0,,firstStrategy,113,736905.0,Broker,113,10000.0,10000.0,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,,114,2018-07-31 00:00:00,1405.0,1405.0,1405.0,1405.0,62696243.0,,firstStrategy,114,736906.0,Broker,114,10000.0,10000.0,BuySell,114,,,Trades - Net Profit/Loss,114,,
115,,115,2018-08-01 00:00:00,1475.0,1475.0,1475.0,1475.0,46359723.0,,firstStrategy,115,736907.0,Broker,115,10000.0,10000.0,BuySell,115,,,Trades - Net Profit/Loss,115,,
116,,116,2018-08-04 00:00:00,1476.0,1500.0,1416.0,1470.0,73183062.0,,firstStrategy,116,736910.0,Broker,116,10000.0,10000.0,BuySell,116,,,Trades - Net Profit/Loss,116,,
117,,117,2018-08-05 00:00:00,1519.0,1541.0,1493.0,1541.0,161181738.0,,firstStrategy,117,736911.0,Broker,117,10000.0,10000.0,BuySell,117,,,Trades - Net Profit/Loss,117,,
118,,118,2018-08-06 00:00:00,1615.0,1615.0,1582.0,1608.0,271622318.0,,firstStrategy,118,736912.0,Broker,118,10000.0,10000.0,BuySell,118,,,Trades - Net Profit/Loss,118,,
119,,119,2018-08-07 00:00:00,1571.0,1660.0,1534.0,1569.0,76166134.0,,firstStrategy,119,736913.0,Broker,119,10000.0,10000.0,BuySell,119,,,Trades - Net Profit/Loss,119,,
120,,120,2018-08-08 00:00:00,1589.0,1590.0,1515.0,1515.0,50019456.0,,firstStrategy,120,736914.0,Broker,120,10000.0,10000.0,BuySell,120,,,Trades - Net Profit/Loss,120,,
121,,121,2018-08-11 00:00:00,1520.0,1520.0,1455.0,1468.0,49109187.0,,firstStrategy,121,736917.0,Broker,121,10000.0,10000.0,BuySell,121,,,Trades - Net Profit/Loss,121,,
122,,122,2018-08-12 00:00:00,1487.0,1540.0,1467.0,1489.0,23374647.0,,firstStrategy,122,736918.0,Broker,122,10000.0,10000.0,BuySell,122,,,Trades - Net Profit/Loss,122,,
123,,123,2018-08-13 00:00:00,1498.0,1539.0,1470.0,1489.0,19152211.0,,firstStrategy,123,736919.0,Broker,123,10000.0,10000.0,BuySell,123,,,Trades - Net Profit/Loss,123,,
124,,124,2018-08-14 00:00:00,1509.0,1550.0,1470.0,1481.0,33928268.0,,firstStrategy,124,736920.0,Broker,124,10000.0,10000.0,BuySell,124,,,Trades - Net Profit/Loss,124,,
125,,125,2018-08-15 00:00:00,1498.0,1498.0,1470.0,1480.0,12094464.0,,firstStrategy,125,736921.0,Broker,125,10000.0,10000.0,BuySell,125,,,Trades - Net Profit/Loss,125,,
126,,126,2018-08-18 00:00:00,1489.0,1530.0,1482.0,1526.0,28290997.0,,firstStrategy,126,736924.0,Broker,126,10000.0,10000.0,BuySell,126,,,Trades - Net Profit/Loss,126,,
127,,127,2018-08-19 00:00:00,1545.0,1586.0,1545.0,1586.0,140272547.0,,firstStrategy,127,736925.0,Broker,127,10000.0,10000.0,BuySell,127,,,Trades - Net Profit/Loss,127,,
128,,128,2018-08-20 00:00:00,1600.0,1664.0,1594.0,1649.0,136023243.0,,firstStrategy,128,736926.0,Broker,128,10000.0,10000.0,BuySell,128,,,Trades - Net Profit/Loss,128,,
129,,129,2018-08-21 00:00:00,1611.0,1658.0,1605.0,1646.0,30921226.0,,firstStrategy,129,736927.0,Broker,129,10000.0,10000.0,BuySell,129,,,Trades - Net Profit/Loss,129,,
130,,130,2018-08-25 00:00:00,1660.0,1680.0,1559.0,1564.0,47069991.0,,firstStrategy,130,736931.0,Broker,130,10000.0,10000.0,BuySell,130,,,Trades - Net Profit/Loss,130,,
131,,131,2018-08-26 00:00:00,1600.0,1669.0,1580.0,1650.0,44443993.0,,firstStrategy,131,736932.0,Broker,131,10000.0,10000.0,BuySell,131,,,Trades - Net Profit/Loss,131,,
132,,132,2018-08-27 00:00:00,1653.0,1714.0,1653.0,1714.0,161208380.0,,firstStrategy,132,736933.0,Broker,132,10000.0,10000.0,BuySell,132,,,Trades - Net Profit/Loss,132,,
